Capacity,Ticket_Type,Price,Show_Duration,On_Sale,Theater,Address,Performance,Show_Name,Categories
1380,"""Standard"",""Premium"",""Orchestra"",""Orchestra"",""Orchestra""","285,749,285,749,285","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-11-07T19:00:00-05:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Premium"",""Rear Mezzanine"",""Orchestra"",""Orchestra"",""Orchestra"",""Rear Mezzanine"",""Orchestra""","199,449,199,229,749,449,199,229","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-11-08T14:00:00-05:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Premium"",""Orchestra"",""Orchestra"",""Orchestra""","285,749,285,749,285","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-11-08T20:00:00-05:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Premium"",""Orchestra"",""Orchestra"",""Orchestra""","285,849,285,849,285","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-11-10T20:00:00-05:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Premium"",""Orchestra"",""Orchestra"",""Orchestra""","285,849,285,849,285","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-11-11T14:00:00-05:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Premium"",""Orchestra"",""Orchestra"",""Orchestra""","285,849,285,849,285","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-11-11T20:00:00-05:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Orchestra"",""Orchestra""","285,285,285","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-11-12T15:00:00-05:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Premium"",""Orchestra"",""Orchestra"",""Orchestra""","285,749,285,749,285","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-11-14T19:00:00-05:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Premium"",""Orchestra"",""Orchestra"",""Orchestra""","285,749,285,749,285","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-11-15T20:00:00-05:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
1380,"""Standard"",""Premium"",""Orchestra"",""Orchestra"",""Orchestra""","285,749,285,749,285","""2hrs, 55mins""",true,"""Richard Rodgers Theatre""","""226 West 46th Street""","""2017-11-16T19:00:00-05:00""","""Hamilton""","""2016 Tony Nominees, 2016 Tony Winners, Broadway, Musicals"""
